year,channel_name,theme,total_subjects,total_duration,n_days,total_subjects_all_themes,theme_share,avg_female_share,avg_male_share
2013,France 3,Histoire-hommages,136,11731,86,5181,0.026249758733835168,0.3040360116916624,0.6959639883083376
2013,M6,Histoire-hommages,108,8046,72,5608,0.01925820256776034,0.40690088030543853,0.5930991196945615
2013,TF1,Histoire-hommages,176,15467,110,7037,0.02501065795083132,0.36466221581051017,0.6353377841894897
2014,France 2,Histoire-hommages,244,23874,136,7978,0.030584106292303837,0.3453831363112629,0.6546168636887372
2014,France 3,Histoire-hommages,185,16394,109,5261,0.035164417411138564,0.29673796543057757,0.7032620345694224
2014,M6,Histoire-hommages,104,7199,63,5631,0.018469188421239565,0.41165212943524265,0.5883478705647573
2014,TF1,Histoire-hommages,201,16633,124,6840,0.029385964912280703,0.3705128232989756,0.6294871767010244
2015,France 2,Histoire-hommages,137,13887,89,6711,0.020414245268961406,0.35555616138705537,0.6444438386129447
2015,France 3,Histoire-hommages,109,8648,71,4514,0.024147097917589722,0.29749708521732615,0.7025029147826738
2015,M6,Histoire-hommages,76,5091,53,5172,0.014694508894044857,0.40791561019796263,0.5920843898020374
2015,TF1,Histoire-hommages,115,11139,85,6098,0.018858642177763202,0.35523936684923507,0.6447606331507649
2016,France 2,Histoire-hommages,186,18550,111,6874,0.027058481233633982,0.335066611290767,0.6649333887092331
2016,France 3,Histoire-hommages,149,14718,98,4966,0.030004027386226338,0.3243162183799622,0.6756837816200377
2016,M6,Histoire-hommages,131,10107,87,5909,0.022169571839566762,0.41293177765030864,0.5870682223496914
2016,TF1,Histoire-hommages,174,16984,109,6560,0.02652439024390244,0.37666034338367316,0.6233396566163268
2017,France 2,Histoire-hommages,171,17613,87,6354,0.026912181303116147,0.3575824853419768,0.6424175146580233
2017,France 3,Histoire-hommages,148,13283,83,4785,0.030929989550679205,0.34530453147396,0.65469546852604
2017,M6,Histoire-hommages,128,11715,73,5571,0.02297612636869503,0.4374584978412171,0.562541502158783
2017,TF1,Histoire-hommages,165,19312,86,6100,0.027049180327868853,0.3840220579668857,0.6159779420331143
2018,France 2,Histoire-hommages,170,17657,93,6310,0.02694136291600634,0.3633825682400644,0.6366174317599356
