hour,channel_name,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
16,France O,0.3399639791655897,0.6600360208344103,947429.14,1864080.8,1114
16,Histoire,0.17648877631376444,0.8235112236862355,445455.25999999995,2077444.1400000001,920
16,I-Télé/CNews,0.3746752736466133,0.6253247263533867,1403521.46,2347908.68,1199
16,L'Equipe 21,0.1667052346359478,0.8332947653640521,394089.12,2015671.34,772
16,LCI,0.32608647488391357,0.6739135251160864,1189815.78,2462087.54,1152
16,LCP/Public Sénat,0.3079541871092084,0.6920458128907916,1169488.52,2618816.24,1160
16,La chaîne Météo,0.20719444028467698,0.792805559715323,424815.92000000004,1580635.18,679
16,M6,0.4276849774554906,0.5723150225445094,1215149.5,1618757.48,1157
16,Monte Carlo TMC,0.3140743808514102,0.6859256191485897,897331.2999999999,1976309.6600000001,1130
16,NRJ 12,0.367669505065383,0.632330494934617,1016996.4000000001,1729571.06,1109
16,Paris Première,0.2608604092296555,0.7391395907703445,414975.38000000006,1186516.3599999999,677
16,Planète+,0.12772089841555995,0.8722791015844401,232233.97999999998,1605775.8599999999,679
16,TF1,0.432924853957805,0.567075146042195,1157755.2200000002,1537331.72,1135
16,TV Breizh,0.30135521706769464,0.6986447829323054,455154.48000000004,1021508.82,602
16,TV5 Monde,0.28958363390895236,0.7104163660910476,536768.7000000001,1318953.82,649
16,Toute l'Histoire,0.19934196099378018,0.8006580390062198,376491.66000000003,1515994.9200000002,670
16,Téva,0.4762663302802486,0.5237336697197513,1084091.84,1156108.6400000001,926
16,Voyage,0.22635481493066884,0.7736451850693312,384179.36,1306257.9000000001,644
16,W9,0.3598818001841642,0.6401181998158357,916326.4800000001,1619576.1199999999,1120
17,ARTE,0.3423033282335813,0.6576966717664187,1103233.12,2090512.2,1154
17,Animaux,0.3780797658607164,0.6219202341392835,706265.0800000001,1155312.3800000001,671
17,BFM TV,0.371182744337632,0.6288172556623679,1354336.1199999999,2301022.46,1152
17,Canal+,0.18742871551603615,0.8125712844839639,466492.5,2196719.3200000003,1084
17,Canal+ Sport,0.03610505263025916,0.9638949473697409,69461.47999999998,2021092.76,653
17,Chasse et pêche,0.08650608120869205,0.9134939187913079,145512.48000000004,1538886.48,635
17,Chérie 25,0.5076919674066767,0.49230803259332334,1094061.28,1054582.18,776
17,Comédie+,0.2804551639844023,0.7195448360155977,494811.2,1282644.72,666
17,D8/C8,0.2814728479353313,0.7185271520646687,613980.7000000001,1581262.7,863
17,Euronews,0.36300281646258487,0.6369971835374151,639115.68,1116063.4,633
17,Eurosport France,0.07372326940743597,0.926276730592564,229675.36,3023688.1,1072
17,France 2,0.28381466433940733,0.7161853356605926,970870.1200000001,2451875.28,1152
17,France 24,0.4568502057664166,0.5431497942335833,1436065.78,1711761.82,1022
17,France 3,0.23860800413202887,0.7613919958679711,711614.9199999999,2292809.12,1119
17,France 5,0.2473115776079108,0.7526884223920892,842115.18,2532118.2800000003,1171
17,France O,0.3519097544637805,0.6480902455362195,867773.3600000001,1708244.68,1118
17,Histoire,0.1936558190003132,0.8063441809996867,530804.82,2201235.72,994
17,I-Télé/CNews,0.3556504920574429,0.6443495079425571,1330346.6800000002,2405035.84,1177
17,L'Equipe 21,0.16137819271192744,0.8386218072880725,396411.88,2080534.78,809
17,LCI,0.3047166665730708,0.6952833334269293,1161145.08,2647236.52,1188
17,LCP/Public Sénat,0.2893652188102627,0.7106347811897372,1095675.66,2678284.8,1156
17,La chaîne Météo,0.20819150779514678,0.7918084922048533,394624.95999999996,1458042.52,629
17,M6,0.42243988444848796,0.5775601155515121,1281357.4200000002,1748807.02,1150
17,Monte Carlo TMC,0.310793369705877,0.689206630294123,905452.78,2002785.56,1191
17,NRJ 12,0.37982838573344124,0.6201716142665589,1100676.26,1766202.1800000002,1185
17,Paris Première,0.2368121124416027,0.7631878875583974,346173.48,1147131.2,642
17,Planète+,0.15174280347885608,0.8482571965211438,261301.49999999997,1469755.3,653
17,TF1,0.43158716674008896,0.5684128332599111,1189303.3,1606295.52,1113
17,TV Breizh,0.28423276543359327,0.7157672345664067,432938.98000000004,1051927.04,605
17,TV5 Monde,0.31027100165974975,0.6897289983402503,586380.54,1288486.36,630
17,Toute l'Histoire,0.1863807443965243,0.8136192556034757,348407.38,1543071.7999999998,674
17,Téva,0.48345493689227953,0.5165450631077205,1101509.8,1149389.26,924
17,Voyage,0.19988702448935128,0.8001129755106486,316223.27999999997,1285584.4400000002,614
17,W9,0.3665801838266684,0.6334198161733315,1037233.3799999999,1811410.92,1157
18,ARTE,0.30661511916583006,0.6933848808341699,901583.7,2033926.8800000001,1148
18,Animaux,0.31103978414368255,0.6889602158563175,535727.0,1188050.06,638
18,BFM TV,0.25392065849883483,0.7460793415011652,929318.24,2734088.7600000002,1142
18,Canal+,0.27280909777892925,0.7271909022210707,801379.2399999999,2297639.5,1180
